Date,Inoc.plank.nutr.source,Inoc.treatment,Bottle.color,Bottle.number,Bottle.ID,size..mm,egg.number,individuals.w.eggs,individuals.w.o.eggs,image.file.name
12/7/22,H+,H-,blue,6,B6,0.566,0,,,B6-2.jpg
12/7/22,H+,H-,blue,6,B6,0.582,0,,,B6-2.jpg
11/10/22,L+,LP+,white,4,W4,0.643,0,,,W4-2.jpg
11/2/22,L+,LP+,white,1,W1,0.689,0,,,W1-4.jpg
11/10/22,L+,LP+,white,4,W4,0.736,0,,,W4-2.jpg
11/2/22,L+,LP+,white,1,W1,0.737,0,,,W1-2.jpg
12/7/22,H+,H-,blue,7,B7,0.746,0,,,B7-2.jpg
11/10/22,L+,LP+,white,3,W3,0.751,0,,,W3-3.jpg
11/10/22,L+,LP+,white,4,W4,0.754,0,,,W4-4.jpg
11/10/22,L+,LP+,white,3,W3,0.759,0,,,W3-3.jpg
11/14/22,L+,LP-,orange,1,O1,0.762,0,,,O1-3.jpg
11/10/22,L+,LP+,white,3,W3,0.765,0,,,W3-4.jpg
11/10/22,L+,LP+,white,4,W4,0.769,0,,,W4-5.jpg
11/10/22,L+,LP+,white,4,W4,0.772,0,,,W4-3.jpg
11/10/22,L+,LP+,white,4,W4,0.772,0,,,W4-6.jpg
10/21/22,L+,L-,yellow,1,Y1,0.773,0,,,Y1-1-3.jpg
11/10/22,L+,LP+,white,3,W3,0.775,0,,,W3-1.jpg
12/7/22,H+,H-,blue,7,B7,0.776,0,,,B7-5.jpg
11/10/22,L+,LP+,white,4,W4,0.782,0,,,W4-4.jpg
11/14/22,L+,LP-,orange,3,O3,0.784,0,,,O3-2.jpg
11/10/22,L+,LP+,white,3,W3,0.791,0,,,W3-3.jpg
11/10/22,L+,LP+,white,4,W4,0.792,0,,,W4-5.jpg
11/14/22,L+,LP-,orange,1,O1,0.796,0,,,O1-3.jpg
11/10/22,L+,LP+,white,4,W4,0.8,0,,,W4-2.jpg
11/10/22,L+,LP+,white,3,W3,0.801,0,,,W3-1.jpg
11/10/22,L+,LP+,white,4,W4,0.804,0,,,W4-2.jpg
11/10/22,L+,LP+,white,4,W4,0.808,0,,,W4-2.jpg
11/2/22,L+,LP+,white,1,W1,0.809,0,,,W1-5.jpg
11/10/22,L+,LP+,white,4,W4,0.809,0,,,W4-3.jpg
11/2/22,L+,LP+,white,1,W1,0.812,0,,,W1-5.jpg
11/10/22,L+,LP+,white,4,W4,0.814,0,,,W4-2.jpg
11/2/22,L+,LP+,white,1,W1,0.816,0,,,W1-5.jpg
11/14/22,L+,LP-,orange,1,O1,0.817,0,,,O1-3.jpg
11/14/22,L+,LP-,orange,3,O3,0.817,0,,,O3-2.jpg
12/7/22,H+,H-,blue,6,B6,0.818,0,,,B6-2.jpg
11/10/22,L+,LP+,white,4,W4,0.819,0,,,W4-2.jpg
11/10/22,L+,LP+,white,4,W4,0.822,0,,,W4-3.jpg
12/14/22,L+,H-,blue,3,B3,0.825,0,,,B3-3.jpg
11/14/22,L+,LP-,orange,3,O3,0.826,0,,,O3-3.jpg
11/14/22,L+,LP-,orange,1,O1,0.827,0,2,13,O1-1.jpg
10/24/22,LP+,H-,blue,9,B9,0.828,0,,,B9-3.jpg
11/10/22,L+,LP+,white,4,W4,0.828,0,,,W4-2.jpg
10/28/22,H+,L+,red,6,R6,0.83,0,,,R6-1-1.jpg
11/14/22,L+,LP-,orange,3,O3,0.83,0,,,O3-2.jpg
10/24/22,L+,H-,blue,2,B2,0.833,0,,,B2-2.jpg
10/28/22,H+,L+,red,6,R6,0.836,0,,,R6-1-1.jpg
11/10/22,L+,LP+,white,4,W4,0.837,0,,,W4-3.jpg
11/14/22,L+,LP-,orange,1,O1,0.837,0,,,O1-3.jpg
12/14/22,L+,H-,blue,3,B3,0.837,0,,,B3-4.jpg
11/10/22,L+,LP+,white,4,W4,0.838,0,,,W4-4.jpg
11/10/22,L+,LP+,white,4,W4,0.841,0,,,W4-3.jpg
11/10/22,L+,LP+,white,3,W3,0.842,0,,,W3-2.jpg
12/14/22,H+,H-,blue,8,B8,0.845,0,,,B8-2.jpg
11/10/22,L+,LP+,white,4,W4,0.847,0,,,W4-2.jpg
10/24/22,L+,H-,blue,2,B2,0.848,0,,,B2-2.jpg
12/2/22,H+,H-,blue,5,B5,0.848,0,,,B5-3.jpg
12/14/22,L+,H-,blue,3,B3,0.849,0,,,B3-3.jpg
12/14/22,L+,H-,blue,3,B3,0.851,0,,,B3-3.jpg
12/14/22,H+,H-,blue,8,B8,0.852,0,,,B8-2.jpg
10/24/22,L+,H-,blue,2,B2,0.853,0,,,B2-2.jpg
11/18/22,LP+,H-,blue,11,B11,0.853,0,,,B11-5.jpg
12/7/22,H+,H-,blue,6,B6,0.854,0,,,B6-2.jpg
10/24/22,L+,H-,blue,2,B2,0.855,0,,,B2-3.jpg
11/10/22,L+,LP+,white,4,W4,0.855,0,,,W4-6.jpg
10/24/22,LP+,H-,blue,9,B9,0.861,0,,,B9-2.jpg
11/2/22,L+,LP+,white,1,W1,0.861,0,,,W1-4.jpg
11/10/22,L+,LP+,white,3,W3,0.861,0,,,W3-1.jpg
11/14/22,L+,LP-,orange,2,O2,0.861,0,,,O2-2.jpg
12/14/22,L+,H-,blue,3,B3,0.862,0,,,B3-2.jpg
10/24/22,L+,H-,blue,2,B2,0.863,0,,,B2-2.jpg
10/24/22,L+,H-,blue,2,B2,0.863,0,,,B2-3.jpg
11/10/22,L+,LP+,white,3,W3,0.863,0,,,W3-1.jpg
10/28/22,H+,L+,red,6,R6,0.865,0,,,R6-1-1.jpg
11/10/22,L+,LP+,white,4,W4,0.867,0,,,W4-3.jpg
12/2/22,H+,H-,blue,5,B5,0.871,0,,,B5-3.jpg
12/2/22,H+,H-,blue,5,B5,0.871,0,,,B5-6.jpg
12/2/22,H+,H-,blue,5,B5,0.874,0,,,B5-6.jpg
11/18/22,LP+,H-,blue,11,B11,0.878,0,,,B11-5.jpg
11/18/22,LP+,H-,blue,11,B11,0.88,0,,,B11-1.jpg
12/2/22,H+,H-,blue,5,B5,0.88,0,6,31,B5-1.jpg
10/24/22,L+,H-,blue,2,B2,0.883,0,,,B2-3.jpg
11/10/22,L+,LP+,white,3,W3,0.884,0,,,W3-1.jpg
11/2/22,L+,LP+,white,2,W2,0.885,0,,,W2-13.jpg
10/24/22,L+,H-,blue,2,B2,0.891,0,,,B2-2.jpg
11/18/22,LP+,H-,blue,11,B11,0.891,0,,,B11-5.jpg
11/18/22,LP+,H-,blue,11,B11,0.897,0,,,B11-2.jpg
12/2/22,H+,H-,blue,5,B5,0.899,0,,,B5-1.jpg
12/2/22,H+,H-,blue,5,B5,0.899,0,,,B5-3.jpg
10/21/22,L+,L-,yellow,1,Y1,0.9,0,,,Y1-1-2.jpg
11/10/22,L+,LP+,white,3,W3,0.9,0,,,W3-6.jpg
10/24/22,LP+,H-,blue,9,B9,0.902,0,,,B9-2.jpg
11/18/22,LP+,H-,blue,11,B11,0.903,0,,,B11-1.jpg
12/2/22,H+,H-,blue,5,B5,0.906,0,,,B5-3.jpg
12/2/22,H+,H-,blue,5,B5,0.908,0,,,B5-1.jpg
10/21/22,L+,L-,yellow,1,Y1,0.909,0,,,Y1-1-2.jpg
11/18/22,LP+,H-,blue,11,B11,0.911,0,,,B11-5.jpg
12/14/22,H+,H-,blue,8,B8,0.911,0,,,B8-2.jpg
11/18/22,LP+,H-,blue,11,B11,0.915,0,,,B11-5.jpg
10/24/22,LP+,H-,blue,9,B9,0.916,0,,,B9-2.jpg
12/2/22,H+,H-,blue,5,B5,0.916,0,,,B5-3.jpg
12/7/22,H+,H-,blue,7,B7,0.916,0,,,B7-4.jpg
12/2/22,H+,H-,blue,5,B5,0.92,0,,,B5-1.jpg
12/7/22,H+,H-,blue,7,B7,0.92,0,,,B7-2.jpg
12/7/22,H+,H-,blue,7,B7,0.923,0,,,B7-4.jpg
10/21/22,L+,L-,yellow,1,Y1,0.926,0,,,Y1-1-3.jpg
11/10/22,L+,LP+,white,4,W4,0.926,0,,,W4-5.jpg
11/18/22,LP+,H-,blue,11,B11,0.926,0,,,B11-1.jpg
12/7/22,H+,H-,blue,7,B7,0.927,0,,,B7-2.jpg
10/21/22,L+,L-,yellow,1,Y1,0.929,0,,,Y1-1-2.jpg
11/10/22,L+,LP+,white,4,W4,0.929,0,,,W4-2.jpg
12/7/22,H+,H-,blue,7,B7,0.932,0,,,B7-3.jpg
10/24/22,LP+,H-,blue,9,B9,0.934,0,,,B9-3.jpg
12/7/22,H+,H-,blue,7,B7,0.934,0,,,B7-4.jpg
12/2/22,H+,H-,blue,5,B5,0.935,0,,,B5-4.jpg
12/2/22,H+,H-,blue,5,B5,0.936,0,,,B5-4.jpg
10/28/22,H+,H+,green,8,G8,0.937,0,,,G8-1-1.jpg
10/28/22,H+,H+,green,8,G8,0.942,0,3,3,G8-1-1.jpg
10/24/22,L+,H-,blue,2,B2,0.943,0,,,B2-2.jpg
10/24/22,L+,H-,blue,2,B2,0.944,0,,,B2-2.jpg
10/24/22,L+,H-,blue,2,B2,0.945,0,,,B2-2.jpg
11/10/22,L+,LP+,white,4,W4,0.95,0,,,W4-3.jpg
10/24/22,LP+,H-,blue,9,B9,0.955,0,,,B9-2.jpg
11/14/22,L+,LP-,orange,1,O1,0.955,0,,,O1-3.jpg
12/7/22,H+,H-,blue,7,B7,0.956,0,,,B7-3.jpg
11/2/22,L+,LP+,white,2,W2,0.957,0,,,W2-1.jpg
11/14/22,L+,LP-,orange,1,O1,0.958,0,,,O1-3.jpg
12/7/22,H+,H-,blue,7,B7,0.958,0,,,B7-4.jpg
10/21/22,H+,LP-,orange,6,O6,0.959,0,,,O6-1-1.jpg
11/2/22,L+,LP+,white,2,W2,0.959,0,,,W2-9.jpg
10/21/22,L+,L-,yellow,1,Y1,0.96,0,,,Y1-1-3.jpg
10/24/22,LP+,H-,blue,9,B9,0.963,0,,,B9-2.jpg
11/2/22,L+,LP+,white,2,W2,0.968,0,,,W2-4.jpg
12/2/22,H+,H-,blue,5,B5,0.969,0,,,B5-3.jpg
11/2/22,L+,LP+,white,2,W2,0.97,0,,,W2-6.jpg
11/2/22,L+,LP+,white,1,W1,0.971,0,,,W1-2.jpg
12/14/22,L+,H-,blue,3,B3,0.978,0,,,B3-3.jpg
12/14/22,L+,H-,blue,3,B3,0.979,0,,,B3-2.jpg
12/14/22,H+,H-,blue,8,B8,0.98,0,,,B8-3.jpg
10/28/22,H+,L+,red,8,R8,0.982,0,0,1,R8-1.jpg
12/14/22,L+,H-,blue,3,B3,0.986,0,,,B3-4.jpg
10/24/22,L+,H-,blue,2,B2,0.987,0,,,B2-2.jpg
11/2/22,L+,LP+,white,1,W1,0.987,0,,,W1-2.jpg
10/24/22,LP+,H-,blue,9,B9,0.989,0,,,B9-2.jpg
12/14/22,L+,H-,blue,3,B3,0.99,0,,,B3-3.jpg
11/10/22,L+,LP+,white,3,W3,0.992,0,,,W3-1.jpg
12/14/22,H+,H-,blue,8,B8,0.992,0,,,B8-4.jpg
10/24/22,L+,H-,blue,2,B2,0.995,0,,,B2-2.jpg
11/10/22,L+,LP+,white,3,W3,0.995,0,,,W3-2.jpg
11/10/22,L+,LP+,white,3,W3,1,0,,,W3-2.jpg
12/2/22,H+,H-,blue,5,B5,1,0,,,B5-4.jpg
