,sampleNames,UCSD_metanames,Project,Location,Experiment,Time,Tank,Inoc.plank.nutr.source,Inoc.treatment,Zoop.tube_Inoc.tube.ID,Inoc.Bottle.color,Inoc.Bottle.number,rep,Sample.type,Organism,Functional.group,Number.of.individuals.or.ml,Qubit.DNA..ng.ul,sample_control,Miseq.ANL,is.neg,read.sum
1,YoTB_664,CBW_YoTB_664,Trophobiomes,Sierra Nevada,zoop mesocosms,T3,2,High,High,pres +,H+,182,1,zooplankton,daphnia,cladocera,30,0.294,sample,3,FALSE,32498
2,YoTB_665,CBW_YoTB_665,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,LP+,W10,white,10,1,zooplankton,daphnia,cladocera,30,2.24,sample,3,FALSE,38572
3,YoTB_666,CBW_YoTB_666,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,7,High,High,pres +,H+,7.1_MB,2,zooplankton,daphnia,cladocera,30,1.73,sample,3,FALSE,25949
4,YoTB_667,CBW_YoTB_667,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,1,Low,Low,pres +,L+,1.1_MB,1,zooplankton,daphnia,cladocera,30,4.34,sample,3,FALSE,29849
5,YoTB_668,CBW_YoTB_668,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,L+,H-,"B1, B2",blue,"1, 2",1,zooplankton,daphnia,cladocera,30,0.376,sample,3,FALSE,39015
6,YoTB_669,CBW_YoTB_669,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,H-,"B9, B10",blue,"9, 10",1,zooplankton,daphnia,cladocera,30,0.386,sample,3,FALSE,24433
7,YoTB_670,CBW_YoTB_670,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,L+,LP+,W3,white,3,1,zooplankton,daphnia,cladocera,30,0.492,sample,3,FALSE,23029
8,YoTB_671,CBW_YoTB_671,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,L+,LP+,W2,white,2,2,zooplankton,daphnia,cladocera,30,2.06,sample,3,FALSE,28136
9,YoTB_672,CBW_YoTB_672,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,L-,Y12,yellow,12,1,zooplankton,daphnia,cladocera,29,0.52,sample,3,FALSE,6178
10,YoTB_673,CBW_YoTB_673,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,H+,H-,B5,blue,5,1,zooplankton,daphnia,cladocera,30,1.27,sample,3,FALSE,13974
11,YoTB_674,CBW_YoTB_674,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,L-,"Y11, Y12",yellow,"11, 12",2,zooplankton,daphnia,cladocera,30,1.6,sample,3,FALSE,7908
12,YoTB_675,CBW_YoTB_675,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,L-,"Y9, Y10, Y11",yellow,"9, 10, 11",3,zooplankton,daphnia,cladocera,30,1.2,sample,3,FALSE,7067
13,YoTB_676,CBW_YoTB_676,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,LP+,W9,white,9,2,zooplankton,daphnia,cladocera,30,1.89,sample,3,FALSE,32385
14,YoTB_677,CBW_YoTB_677,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,7,High,High,pres +,H+,7.1_MB,2,zooplankton,daphnia,cladocera,30,1.76,sample,3,FALSE,40333
15,YoTB_678,CBW_YoTB_678,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,10,Low,Low,pres +,L+,10.1_MB,2,zooplankton,daphnia,cladocera,30,1.79,sample,3,FALSE,40127
16,YoTB_679,CBW_YoTB_679,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,H-,B11,blue,11,2,zooplankton,daphnia,cladocera,30,0.704,sample,3,FALSE,19834
17,YoTB_680,CBW_YoTB_680,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,L-,Y9,yellow,9,4,zooplankton,daphnia,cladocera,30,1.97,sample,3,FALSE,22398
18,YoTB_681,CBW_YoTB_681,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,L+,LP+,W4,white,4,3,zooplankton,daphnia,cladocera,30,2.6,sample,3,FALSE,24380
19,YoTB_682,CBW_YoTB_682,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,H+,LP+,W5,white,5,1,zooplankton,daphnia,cladocera,27,3.34,sample,3,FALSE,44103
20,YoTB_683,CBW_YoTB_683,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,7,High,High,pres +,H+,7.1_MB,2,zooplankton,daphnia,cladocera,30,2.44,sample,3,FALSE,34445
21,YoTB_685,CBW_YoTB_685,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,7,High,High,pres +,H+,7.1_MB,2,zooplankton,daphnia,cladocera,30,1.25,sample,3,FALSE,35748
22,YoTB_686,CBW_YoTB_686,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,7,High,High,pres +,H+,7.1_MB,2,zooplankton,daphnia,cladocera,30,2.72,sample,3,FALSE,37773
23,YoTB_687,CBW_YoTB_687,Trophobiomes,Sierra Nevada,zoop mesocosms,T3,2,High,High,pres +,H+,182,1,zooplankton,daphnia,cladocera,30,3.22,sample,3,FALSE,29189
24,YoTB_688,CBW_YoTB_688,Trophobiomes,Sierra Nevada,zoop mesocosms,T1,1,Low,Low,pres +,L+,1.1_MB,1,zooplankton,daphnia,cladocera,30,3.8,sample,3,FALSE,66528
25,YoTB_689,CBW_YoTB_689,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,H+,H-,"B6, B7",blue,"6, 7",2,zooplankton,daphnia,cladocera,30,5.84,sample,3,FALSE,48325
26,YoTB_690,CBW_YoTB_690,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,H+,H+,"G5, G7, G8",green,"5, 7, 8",1,zooplankton,daphnia,cladocera,10,0.656,sample,3,FALSE,17212
27,YoTB_691,CBW_YoTB_691,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,L+,H-,"B1, B2, B3",blue,"1, 2, 3",2,zooplankton,daphnia,cladocera,30,0.714,sample,3,FALSE,27499
28,YoTB_692,CBW_YoTB_692,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,H+,"G10, G11, G12",green,"10, 11, 12",1,zooplankton,daphnia,cladocera,13,0.368,sample,3,FALSE,27555
29,YoTB_693,CBW_YoTB_693,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,H+,L-,"Y5, Y6, Y7",yellow,"5, 6, 7",1,zooplankton,daphnia,cladocera,30,1.29,sample,3,FALSE,24683
30,YoTB_694,CBW_YoTB_694,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,LP+,H-,"B9, B10",blue,"9, 10",3,zooplankton,daphnia,cladocera,30,0.67,sample,3,FALSE,14219
31,YoTB_695,CBW_YoTB_695,Trophobiomes,Sierra Nevada,zoops bottles,Inoc.bottles.end,Inoculation,L+,L-,Y1,yellow,1,1,zooplankton,daphnia,cladocera,15,0.634,sample,3,FALSE,4683
